name  	a_avarage 	a_low 		a_high 		b_avarage 	b_low 		b_high

"100K"	186776419.6	185957236	187853481	670403.8	648642		700075

"500K"	931700727.4	928774635	935951928	3304480.2 	3014987		3517034

"1000K"	1865300372.6	1859423175	1869133668	6416823.8	6066490		7115212
